[Class: Body -321884.0]	[Class: Body 1.0]	[compact instance/mail0: charPerc20:1.0 charPerc50:1.0 charPerc75:1.0 firstL:1.0 nextblankL:1.0 notblankL:1.0 punctPerc0:1.0]
[Class: Body 4145841.0]	[Class: Body 1.0]	[compact instance/mail0: blankL:1.0 charPerc0:1.0 charPerc20next:1.0 charPerc20prev:1.0 charPerc50next:1.0 charPerc50prev:1.0 charPerc75next:1.0 charPerc75prev:1.0 punctPerc0:1.0 secondL:1.0]
[Class: Body 925735.0]	[Class: Body 1.0]	[compact instance/mail0: charPerc20:1.0 charPerc20next:1.0 charPerc50:1.0 charPerc50next:1.0 charPerc75:1.0 nextnextblankL:1.0 notblankL:1.0 prevblankL:1.0 punctPerc0:1.0]
[Class: Body 1302873.0]	[Class: Body 1.0]	[compact instance/mail0: charPerc20:1.0 charPerc20prev:1.0 charPerc50:1.0 charPerc50prev:1.0 charPerc75prev:1.0 nextblankL:1.0 notblankL:1.0 prevprevblankL:1.0 punctPerc0:1.0]
[Class: Body 3716366.0]	[Class: Body 1.0]	[compact instance/mail0: blankL:1.0 charPerc0:1.0 charPerc20next:1.0 charPerc20prev:1.0 charPerc50next:1.0 charPerc50prev:1.0 punctPerc0:1.0 punctPerc20next:1.0]
[Class: Body 962518.0]	[Class: Header 1.0]	[compact instance/mail0: charPerc20:1.0 charPerc20next:1.0 charPerc50:1.0 charPerc50next:1.0 nextnextblankL:1.0 notblankL:1.0 prevblankL:1.0 punctPerc20:1.0]
[Class: Body 935222.0]	[Class: Header 1.0]	[compact instance/mail0: charPerc20:1.0 charPerc20prev:1.0 charPerc50:1.0 charPerc50prev:1.0 nextblankL:1.0 notblankL:1.0 prevprevblankL:1.0 punctPerc0:1.0 punctPerc20prev:1.0]
[Class: Body 3732177.0]	[Class: Body 1.0]	[compact instance/mail0: blankL:1.0 charPerc0:1.0 charPerc20next:1.0 charPerc20prev:1.0 charPerc50next:1.0 charPerc50prev:1.0 charPerc75next:1.0 punctPerc0:1.0]
[Class: Body 994798.0]	[Class: Body 1.0]	[compact instance/mail0: charPerc20:1.0 charPerc20next:1.0 charPerc50:1.0 charPerc75:1.0 notblankL:1.0 prevblankL:1.0 punctPerc0:1.0 punctPerc20next:1.0]
[Class: Body 2288514.0]	[Class: Body 1.0]	[compact instance/mail0: charPerc20:1.0 charPerc20next:1.0 charPerc20prev:1.0 charPerc50next:1.0 charPerc50prev:1.0 charPerc75prev:1.0 nextreplySymbol:1.0 notblankL:1.0 prevprevblankL:1.0 punctPerc20:1.0]
[Class: Body 1953216.0]	[Class: Body 1.0]	[compact instance/mail0: charPerc20:1.0 charPerc20next:1.0 charPerc20prev:1.0 charPerc50:1.0 charPerc50next:1.0 nextreplySymbol:1.0 nextsicline:1.0 notblankL:1.0 punctPerc0:1.0 punctPerc20prev:1.0 replySymbol:1.0]
[Class: Body 1700493.0]	[Class: Body 1.0]	[compact instance/mail0: charPerc20:1.0 charPerc20prev:1.0 charPerc50:1.0 charPerc50prev:1.0 nextreplySymbol:1.0 nextsicline:1.0 notblankL:1.0 prevreplySymbol:1.0 prevsicline:1.0 punctPerc0:1.0 punctPerc20next:1.0 punctPerc50next:1.0 replySymbol:1.0]
[Class: Body 3452594.0]	[Class: Body 1.0]	[compact instance/mail0: charPerc0:1.0 charPerc20next:1.0 charPerc20prev:1.0 charPerc50next:1.0 charPerc50prev:1.0 nextreplySymbol:1.0 nextsicline:1.0 notblankL:1.0 prevreplySymbol:1.0 prevsicline:1.0 punctPerc20:1.0 punctPerc50:1.0 replySymbol:1.0]
